人物,传统,现标v1,对象域v2,语句
柏拉图,西方,B,他者,真正的统治者是为被治者谋利，而非为自己聚敛。——〔译〕《理想国》342e—343a
黄宗羲,中国,A,自我,盈天地皆心也。——《明儒学案·自序》 #self-other
公孙龙,中国,A,符号,故彼彼当乎彼，则唯乎彼，其谓行彼；此此当乎此，则唯乎此，其谓行此。——《公孙龙子·名实论》
密尔,西方,B,他者,民主的缺陷，可由教育的普及来弥补。——《代议制政府》〔译〕
公孙龙,中国,B,符号,马者无去取于色，故黄、黑皆所以应；白马者，有去取于色，黄、黑马皆所以色去，故唯白马独可以应耳。——《公孙龙子·白马论》
马可·奥勒留,西方,A,自我,当你因不情愿而做一件事时，你已经在其中迷失了。——《沉思录》卷五·1〔意译〕
周敦颐,中国,B,世界,太极动而生阳，动极而静，静而生阴，静极复动。——《太极图说》
孟子,中国,B,他者,天子不仁，不保四海；诸侯不仁，不保社稷。——《孟子·离娄上》
胡塞尔,西方,A,符号,本质直观让我能够直接看到「红」本身，而不只是某个红色的物体。——《现象学的观念》第四讲〔译〕
斯宾诺莎,西方,A,自我,我若以理性指导生活，便不为命运所奴役。——《伦理学》第四部分·命题二十六附释〔意译〕
嵇康,中国,B,他者,夫公私之理，相反而俱通。——《释私论》
阿奎那,西方,A,自我,人的自由，不是为所欲为，而是能选择那真正的善；囿于罪者，自由反减。——《神学大全·I-II·q.13·a.6》〔译〕
第欧根尼,西方,A,自我,我既非雅典人，亦非科林斯人，而是世界公民。——〔译〕《名哲言行录》卷六·63
王弼,中国,A,自我,众人无不有怀有志，盈溢胸心，故曰皆有以也；我独廓然，无为无欲，若遗失之。——《老子注·二十章》
王阳明,中国,A,自我,志不立，天下无可成之事。——《教条示龙场诸生》
老子,中国,B,他者,以正治国，以奇用兵，以无事取天下。——《道德经·第五十七章》
王弼,中国,B,符号,近不必比，远不必乖。——《周易略例·明爻通变》
克尔凯郭尔,西方,A,自我,选择，是永恒的，因为它定义你之所是。——《非此即彼》（Victor Eremita 编纂）〔译〕
尼采,西方,A,自我,一个人如果知道自己为什么而活，就可以忍受任何一种生活。——《偶像的黄昏·箴言与箭》33
叔本华,西方,A,自我,智者把生活看作一场展览，自己只是旁观者。——《作为意志和表象的世界》〔译〕
老子,中国,A,自我,俗人昭昭，我独昏昏；俗人察察，我独闷闷。——《道德经·第二十章》
道元,日本,A,自我,坐禅者非为成佛，坐禅即是佛之行。——《正法眼藏·坐禅箴》
塞涅卡,西方,B,他者,他人的成就，不必羡也不必妒；各人按自己的剧本登场与退场。——《致鲁基里乌斯书信集·第1封》〔译〕
波普尔,西方,A,符号,我们所能做的，不是消灭错误，而是让它更快显现。——《客观知识》〔意译〕
