人物,条目,自我,他者,世界,符号,同一,v1A占比,v2A占比,差pp
王阳明,56,42,2,0,1,11,50.0,93.3,43.3
慧能,56,47,2,0,3,4,50.0,90.4,40.4
爱比克泰德,64,46,12,4,2,0,53.1,71.9,18.8
伊壁鸠鲁,58,41,9,7,1,0,48.3,70.7,22.4
嵇康,56,39,6,8,3,0,50.0,69.6,19.6
马可·奥勒留,52,34,5,9,1,3,50.0,69.4,19.4
塞涅卡,56,37,14,4,0,1,50.0,67.3,17.3
陆九渊,60,38,5,7,7,3,53.3,66.7,13.3
鲁米,56,32,7,5,4,8,50.0,66.7,16.7
吉田兼好,56,37,12,4,3,0,50.0,66.1,16.1
克里希那穆提,56,35,11,1,6,3,50.0,66.0,16.0
释迦牟尼,55,36,6,8,4,0,50.9,65.5,14.5
尼采,52,33,10,1,8,0,46.2,63.5,17.3
帕斯卡,83,51,9,9,12,2,49.4,63.0,13.6
萨特,72,44,22,2,2,2,50.0,62.9,12.9
周敦颐,58,35,4,13,4,2,48.3,62.5,14.2
冯友兰,56,33,9,7,4,3,50.0,62.3,12.3
孔子,60,37,17,2,4,0,50.0,61.7,11.7
程颐,56,33,8,10,4,1,50.0,60.0,10.0
商羯罗,56,24,0,8,8,16,50.0,60.0,10.0
李贽,56,32,11,1,10,2,50.0,59.3,9.3
程颢,56,29,5,14,1,7,50.0,59.2,9.2
朱熹,76,45,1,15,15,0,50.0,59.2,9.2
叔本华,73,41,18,10,1,3,52.1,58.6,6.5
柏拉图,60,35,6,9,10,0,50.0,58.3,8.3
雅斯贝尔斯,56,32,12,4,7,1,50.0,58.2,8.2
张载,67,36,6,14,6,5,47.8,58.1,10.3
苏格拉底,50,29,11,1,9,0,50.0,58.0,8.0
加缪,72,41,22,7,1,1,50.0,57.7,7.7
亚里士多德,58,32,14,5,6,1,48.3,56.1,7.9
奥古斯丁,56,29,12,9,2,4,50.0,55.8,5.8
道元,56,26,3,16,2,9,50.0,55.3,5.3
第欧根尼,58,32,19,3,4,0,48.3,55.2,6.9
海德格尔,60,33,1,17,9,0,50.0,55.0,5.0
孟子,61,32,27,0,1,1,49.2,53.3,4.2
荀子,62,33,18,7,4,0,50.0,53.2,3.2
克尔凯郭尔,72,38,29,0,5,0,52.8,52.8,0.0
阿奎那,56,28,6,15,6,1,50.0,50.9,0.9
牟宗三,56,27,14,3,9,3,42.9,50.9,8.1
老子,60,30,8,17,5,0,46.7,50.0,3.3
康德,58,29,15,3,11,0,50.0,50.0,0.0
斯宾诺莎,58,26,11,12,5,4,48.3,48.1,-0.1
安萨里,56,26,12,7,11,0,50.0,46.4,-3.6
龙树,56,24,1,15,12,4,50.0,46.2,-3.8
郭象,56,25,2,27,1,1,50.0,45.5,-4.5
阿伦特,62,28,29,1,4,0,45.2,45.2,0.0
笛卡尔,62,28,2,15,17,0,48.4,45.2,-3.2
罗素,63,28,18,2,15,0,47.6,44.4,-3.2
熊十力,56,21,6,13,8,8,46.4,43.8,-2.7
海亚姆,56,24,4,21,6,1,50.0,43.6,-6.4
庄子,58,23,7,16,8,4,50.0,42.6,-7.4
密尔,55,22,30,0,3,0,50.9,40.0,-10.9
黑格尔,55,21,15,9,8,2,50.9,39.6,-11.3
顾炎武,56,22,29,0,5,0,39.3,39.3,0.0
黄宗羲,56,21,32,0,3,0,35.7,37.5,1.8
德谟克利特,62,23,16,12,11,0,51.6,37.1,-14.5
福柯,65,24,25,0,16,0,43.1,36.9,-6.2
王夫之,57,20,12,20,4,1,35.1,35.7,0.6
王弼,56,19,3,18,16,0,50.0,33.9,-16.1
董仲舒,60,19,27,10,3,1,50.0,32.2,-17.8
波普尔,61,19,17,2,23,0,45.9,31.1,-14.8
僧肇,56,15,1,20,17,3,37.5,28.3,-9.2
韩非,60,17,34,5,4,0,50.0,28.3,-21.7
莱布尼茨,58,16,2,33,6,1,48.3,28.1,-20.2
王充,60,16,11,11,21,1,50.0,27.1,-22.9
休谟,57,15,9,2,30,1,47.4,26.8,-20.6
胡塞尔,56,14,2,8,29,3,50.0,26.4,-23.6
墨子,54,14,32,2,6,0,37.0,25.9,-11.1
马克思,56,14,40,1,1,0,50.0,25.0,-25.0
赫拉克利特,58,13,6,26,11,2,34.5,23.2,-11.3
洛克,56,9,15,2,28,2,46.4,16.7,-29.8
惠施,22,3,2,7,7,3,22.7,15.8,-6.9
维特根斯坦,56,8,0,3,41,4,50.0,15.4,-34.6
商鞅,60,3,56,0,1,0,30.0,5.0,-25.0
孙子,60,2,57,1,0,0,50.0,3.3,-46.7
巴门尼德,56,1,0,33,17,5,19.6,2.0,-17.7
公孙龙,61,1,1,0,59,0,26.2,1.6,-24.6
