传统,人物,地域,时代,派别,A对自我,B对外界,合计,A占比,⚠️存疑,⚠️A,⚠️B,〔译〕,文件
中国哲学,陆九渊,中国,南宋,儒家·心学（象山学派，与朱子并立）,32,28,60,0.533,0,0,0,0,中国哲学/陆九渊/陆九渊.md
中国哲学,冯友兰,中国,近代,新理学（当代新儒家）,28,28,56,0.5,0,0,0,17,中国哲学/冯友兰/冯友兰.md
中国哲学,嵇康,中国,魏晋（竹林七贤）,玄学（竹林一派）,28,28,56,0.5,0,0,0,0,中国哲学/嵇康/嵇康.md
中国哲学,慧能,中国,唐,禅宗（南宗／六祖）,28,28,56,0.5,9,1,8,0,中国哲学/慧能/慧能.md
中国哲学,李贽,中国,明（晚明）,儒家·晚明异端（泰州学派后劲，反理学）,28,28,56,0.5,10,9,1,4,中国哲学/李贽/李贽.md
中国哲学,王弼,中国,魏晋,玄学（贵无论）,28,28,56,0.5,0,0,0,0,中国哲学/王弼/王弼.md
中国哲学,王阳明,中国,明（中叶）,儒家·心学（阳明学，明代心学集大成者）,28,28,56,0.5,0,0,0,0,中国哲学/王阳明/王阳明.md
中国哲学,程颐,中国,北宋,儒家·理学（洛学，世称伊川先生）,28,28,56,0.5,1,0,1,0,中国哲学/程颐/程颐.md
中国哲学,程颢,中国,北宋,儒家·理学（洛学，世称明道先生）,28,28,56,0.5,4,2,2,0,中国哲学/程颢/程颢.md
中国哲学,郭象,中国,魏晋（西晋）,玄学,28,28,56,0.5,0,0,0,0,中国哲学/郭象/郭象.md
中国哲学,庄子,中国,战国,道家（庄子学派）,29,29,58,0.5,0,0,0,0,中国哲学/庄子/庄子.md
中国哲学,孔子,中国,春秋,儒家（创始人）,30,30,60,0.5,0,0,0,0,中国哲学/孔子/孔子.md
中国哲学,孙子,中国,春秋末,兵家,30,30,60,0.5,0,0,0,0,中国哲学/孙子/孙子.md
中国哲学,王充,中国,东汉,汉末批判思潮,30,30,60,0.5,0,0,0,0,中国哲学/王充/王充.md
中国哲学,董仲舒,中国,汉,汉代儒学,30,30,60,0.5,0,0,0,0,中国哲学/董仲舒/董仲舒.md
中国哲学,韩非,中国,战国,法家（集大成者）,30,30,60,0.5,0,0,0,0,中国哲学/韩非/韩非.md
中国哲学,荀子,中国,战国,儒家（荀学）,31,31,62,0.5,0,0,0,0,中国哲学/荀子/荀子.md
中国哲学,朱熹,中国,南宋,儒家·理学（闽学，宋代理学集大成者）,38,38,76,0.5,1,0,1,0,中国哲学/朱熹/朱熹.md
中国哲学,孟子,中国,战国,儒家（思孟学派）,30,31,61,0.492,0,0,0,0,中国哲学/孟子/孟子.md
中国哲学,周敦颐,中国,北宋,儒家·理学（濂学，宋明理学开山）,28,30,58,0.483,0,0,0,0,中国哲学/周敦颐/周敦颐.md
中国哲学,张载,中国,北宋,儒家·理学（关学）,32,35,67,0.478,0,0,0,0,中国哲学/张载/张载.md
中国哲学,老子,中国,春秋,道家（创始人）,28,32,60,0.467,0,0,0,0,中国哲学/老子/老子.md
中国哲学,熊十力,中国,近代,新儒家（当代新儒家）,26,30,56,0.464,0,0,0,45,中国哲学/熊十力/熊十力.md
中国哲学,牟宗三,中国,近代,当代新儒家,24,32,56,0.429,0,0,0,54,中国哲学/牟宗三/牟宗三.md
中国哲学,顾炎武,中国,明末清初,实学（亭林学派）,22,34,56,0.393,0,0,0,32,中国哲学/顾炎武/顾炎武.md
中国哲学,僧肇,中国,东晋（十六国·后秦）,中国佛学（般若中观）,21,35,56,0.375,0,0,0,0,中国哲学/僧肇/僧肇.md
中国哲学,墨子,中国,春秋末—战国初,墨家（创始人）,20,34,54,0.37,0,0,0,0,中国哲学/墨子/墨子.md
中国哲学,黄宗羲,中国,明末清初,实学（梨洲学派）,20,36,56,0.357,0,0,0,40,中国哲学/黄宗羲/黄宗羲.md
中国哲学,王夫之,中国,明末清初,气学（船山学派）,20,37,57,0.351,0,0,0,24,中国哲学/王夫之/王夫之.md
中国哲学,商鞅,中国,战国,法家,18,42,60,0.3,0,0,0,0,中国哲学/商鞅/商鞅.md
中国哲学,公孙龙,中国,战国,名家,16,45,61,0.262,0,0,0,0,中国哲学/公孙龙/公孙龙.md
中国哲学,惠施,中国,战国,名家,5,17,22,0.227,0,0,0,0,中国哲学/惠施/惠施.md
伊斯兰与波斯,安萨里,波斯（呼罗珊，今伊朗境内）,11—12世纪,伊斯兰神学 / 苏非主义,28,28,56,0.5,1,1,0,55,伊斯兰与波斯/安萨里/安萨里.md
