ID,对象域
1,自我
2,自我
3,自我
4,他者
5,自我
6,他者
7,他者
8,自我
9,世界
10,他者
11,自我
12,他者
13,自我
14,他者
15,他者
16,自我
17,自我
18,符号
19,他者
20,自我
21,自我
22,符号
23,符号
24,自我
25,自我
26,自我
27,世界
28,符号
29,自我
30,自我
31,自我
32,他者
33,自我
34,世界
35,自我
36,自我
37,符号
38,自我
39,符号
40,符号
41,符号
42,世界
43,自我
44,同一
45,世界
46,自我
47,他者
48,同一
49,他者
50,符号
51,自我
52,他者
53,符号
54,世界
55,世界
56,自我
57,他者
58,他者
59,符号
60,世界
61,他者
62,符号
63,他者
64,他者
65,符号
66,符号
67,符号
68,自我
69,自我
70,符号
71,自我
72,他者
73,符号
74,符号
75,世界
76,自我
77,他者
78,自我
79,世界
80,自我
81,自我
82,自我
83,自我
84,世界
85,自我
86,他者
87,同一
88,自我
89,他者
90,他者
91,他者
92,自我
93,他者
94,他者
95,自我
96,符号
97,世界
98,自我
99,自我
100,世界
101,他者
102,符号
103,他者
104,自我
105,他者
106,自我
107,自我
108,世界
109,他者
110,符号
111,自我
112,同一
113,自我
114,符号
115,符号
116,自我
117,符号
118,他者
119,他者
120,同一
121,自我
122,符号
123,符号
124,他者
125,符号
126,他者
127,自我
128,自我
129,他者
130,他者
131,世界
132,世界
133,同一
134,世界
135,他者
136,自我
137,符号
138,世界
139,世界
140,自我
141,世界
142,自我
143,符号
144,自我
145,自我
146,符号
147,符号
148,他者
149,他者
150,自我
