ID,对象域
15-001,自我
15-002,他者
15-003,自我
15-004,自我
15-005,他者
15-006,自我
15-007,世界
15-008,自我
15-009,符号
15-010,自我
15-011,自我
15-012,他者
15-013,世界
15-014,自我
15-015,符号
15-016,自我
15-017,他者
15-018,自我
15-019,世界
15-020,自我
15-021,自我
15-022,符号
15-023,他者
15-024,自我
15-025,自我
15-026,自我
15-027,世界
15-028,自我
15-029,自我
15-030,自我
15-031,世界
15-032,符号
15-033,自我
15-034,自我
15-035,自我
15-036,自我
15-037,他者
15-038,符号
15-039,他者
15-040,他者
15-041,他者
15-042,他者
15-043,符号
15-044,世界
15-045,自我
15-046,自我
15-047,自我
15-048,符号
15-049,他者
15-050,自我
15-051,自我
15-052,自我
15-053,自我
15-054,自我
15-055,自我
15-056,自我
15-057,自我
15-058,符号
15-059,他者
15-060,世界
15-061,符号
15-062,符号
15-063,自我
15-064,符号
15-065,他者
15-066,自我
15-067,符号
15-068,世界
15-069,他者
15-070,自我
15-071,自我
15-072,他者
15-073,自我
15-074,自我
15-075,符号
15-076,自我
15-077,自我
15-078,自我
15-079,自我
15-080,他者
15-081,自我
15-082,他者
15-083,他者
15-084,自我
15-085,同一
15-086,他者
15-087,符号
15-088,世界
15-089,自我
15-090,自我
15-091,自我
15-092,世界
15-093,他者
15-094,他者
15-095,世界
15-096,自我
15-097,自我
15-098,自我
15-099,符号
15-100,自我
15-101,世界
15-102,符号
15-103,世界
15-104,自我
15-105,他者
15-106,自我
15-107,自我
15-108,自我
15-109,自我
15-110,世界
15-111,自我
15-112,自我
15-113,他者
15-114,自我
15-115,自我
15-116,自我
15-117,自我
15-118,符号
15-119,符号
15-120,自我
15-121,他者
15-122,自我
15-123,自我
15-124,他者
15-125,符号
15-126,符号
15-127,自我
15-128,他者
15-129,自我
15-130,世界
15-131,自我
15-132,自我
15-133,世界
15-134,自我
15-135,他者
15-136,世界
15-137,世界
15-138,他者
15-139,自我
15-140,自我
15-141,自我
15-142,自我
15-143,自我
15-144,自我
15-145,符号
15-146,自我
15-147,自我
15-148,符号
15-149,自我
15-150,自我
15-151,自我
15-152,自我
15-153,自我
15-154,自我
15-155,同一
15-156,自我
15-157,同一
15-158,世界
15-159,自我
15-160,符号
15-161,自我
15-162,自我
15-163,自我
15-164,符号
15-165,自我
15-166,世界
15-167,自我
15-168,他者
15-169,符号
15-170,自我
15-171,符号
15-172,世界
15-173,自我
15-174,他者
15-175,符号
15-176,他者
15-177,自我
15-178,符号
15-179,世界
15-180,符号
15-181,世界
15-182,符号
15-183,自我
15-184,世界
15-185,自我
15-186,他者
15-187,符号
15-188,自我
15-189,自我
15-190,世界
15-191,他者
15-192,他者
15-193,自我
15-194,他者
15-195,自我
15-196,他者
15-197,符号
15-198,世界
15-199,符号
15-200,自我
15-201,他者
15-202,他者
15-203,自我
15-204,他者
15-205,自我
15-206,世界
15-207,符号
15-208,自我
15-209,他者
15-210,世界
15-211,自我
15-212,自我
15-213,他者
15-214,同一
15-215,世界
15-216,自我
15-217,自我
15-218,他者
15-219,他者
15-220,自我
15-221,他者
15-222,自我
15-223,自我
15-224,符号
15-225,他者
15-226,自我
15-227,他者
15-228,自我
15-229,自我
15-230,自我
15-231,世界
15-232,他者
15-233,世界
15-234,自我
15-235,世界
15-236,自我
15-237,他者
15-238,世界
15-239,他者
15-240,他者
15-241,自我
15-242,自我
15-243,自我
15-244,他者
15-245,自我
15-246,符号
15-247,符号
15-248,自我
15-249,他者
15-250,他者
15-251,自我
15-252,他者
15-253,他者
15-254,自我
15-255,他者
15-256,自我
15-257,自我
15-258,符号
15-259,符号
15-260,他者
15-261,自我
15-262,世界
15-263,符号
15-264,他者
15-265,同一
15-266,自我
15-267,他者
15-268,他者
15-269,自我
15-270,自我
15-271,符号
15-272,世界
15-273,自我
15-274,自我
15-275,他者
15-276,自我
15-277,他者
15-278,自我
15-279,他者
15-280,符号
15-281,自我
15-282,他者
15-283,符号
15-284,世界
15-285,自我
15-286,自我
15-287,世界
15-288,自我
15-289,自我
15-290,自我
15-291,世界
15-292,自我
15-293,自我
15-294,自我
15-295,自我
15-296,他者
15-297,世界
15-298,自我
15-299,自我
15-300,世界
15-301,他者
15-302,自我
15-303,自我
15-304,他者
15-305,自我
