ID,语句
1,何以渐顿？法本一宗，人有南北。——《坛经》（敦煌本）
2,若识本心，即本解脱。——《坛经》（敦煌本）
3,人苟以善自治，则无不可移者。——《遗书》卷二十五
4,宗教宽容是良心之事，不应由世俗权力裁决。——《论宗教宽容》〔意译〕
5,见义不为，无勇也。——《论语·为政》
6,地上的和平纵是暂存，也是神所赐的恩，当以秩序守之。——《上帝之城·19·13》〔译〕
7,好政府的标准，是增进公众的好，并发展人民的才能。——《代议制政府》〔译〕
8,吾心之是非，自有权衡，不待取给于孔子而后定也。——《焚书·答耿中丞》
9,灵魂与身体之间，没有真正的因果作用，只有预先的和谐。——《单子论》第78节〔意译〕
10,真理若在交往中被强制，便不再是真理。——《论真理》〔译〕
11,真理是主观的：最重要的，是你如何内在地把握它。——《哲学片段》（Johannes Climacus）〔译〕
12,新闻界，是制造「公众」、消解责任的机器。——《现时代》（本名）〔译〕
13,冥想不是逃离现实，而是对现实的全然觉知。——《重新认识你自己》〔译〕
14,风俗者，天下之大事。——《日知录·汉元帝》
15,容忍异见者，是基督徒与公民的双重义务。——《论宗教宽容》〔意译〕
16,不着于空，不取于有，是名中道行。——《中论·观四谛品》〔意译〕
17,勇敢是面对高尚之死与危险时的适度，而非无所畏惧。——〔译〕《尼各马可伦理学》1115a—1117b
18,中国哲学之特质，在生命之印证。——《中国哲学十九讲》 〔意译〕
19,孔子曰：不患寡而患不均。——《春秋繁露·度制》
20,见贤思齐焉，见不贤而内自省也。——《论语·里仁》
21,若不审慎、不公正、不义，便不可能怡然生活。——〔译〕《主要学说》KD 5
22,小知不及大知，小年不及大年。——《庄子·逍遥游》
23,神看一切为美、为善、为义；人却以一些为不义、另一些为义。——〔译〕《残篇》DK B102（第欧根尼·拉尔修 IX.9 转引）
24,夜风送来东方消息，唤醒酣睡之人。——《鲁拜集》〔译〕
25,人的意志是自由的，正因它能转向或背离善；若不能选择，便无所谓功过。——《论自由意志·3·3》〔译〕
26,经学明而义理明，义理明而躬行立。——《亭林文集》 〔意译〕
27,物各付物，各正性命。——《周易外传》 〔意译〕
28,写下的文字如同绘画：它不能自辩，也不知对谁该言、对谁当默。——〔译〕《斐德罗》275d—277a
29,生无一锥土，常有四海心。——《亭林诗集·秋雨》
30,每日抽身片刻，与最高的自己相对而坐。——《致鲁基里乌斯书信集·第23封》〔译〕
31,我的自由若不与你相连，便走向自我毁灭；自由的真义，是能选择那真正的善。——《论自由意志·3·3》〔译〕
32,反抗不是破坏，而是肯定一种限度。——《反抗者》〔译〕
33,不可以孔子之是非为是非，余尝以为此语最切。——《焚书·答耿中丞》
34,万物之中有两种根本形相：光明之火与黑夜之暗，二者各各相反。——〔译〕《论自然》残篇 DK B8（辛普里丘转引）
35,以诚敬存之，久而天理明。——《识仁篇》
36,不要向人炫耀你的学问，而要在行为中彰显它。——《手册·12》〔译〕
37,我们关于神的知识，正是神对自己的知识的有限部分。——《伦理学》第五部分·命题三十六附释〔意译〕
38,意志的自律，是一切道德法则以及合乎这些法则的职责的惟一原则。——《道德形而上学奠基》〔译〕
39,知识来自两个大原则：矛盾律与充足理由律。——《单子论》第31节〔意译〕
40,夫事有归，理有会。故得其归，事虽殷大，可以一名举；得其会，理虽博，可以至约穷也。——《论语集解》引王弼《论语释疑》（一以贯之注）
41,我决意把我所接受的一切意见重新审查一遍，把根基挖空再重建。——《第一哲学沉思集》第一沉思 / 《谈谈方法》第三部分〔意译〕
42,世界不是自在的物自体，而是对我显现的意义统一体。——《纯粹现象学通论》§27〔译〕
43,夫气静神虚者，心不存于矜尚；体亮心达者，情不系于所欲。——《答难养生论》
44,世间出世间，不一亦不异；离世间求涅槃，是则为倒见。——《中论·观涅槃品》〔意译〕
45,"万物之""为何""，可归为四因：质料、形式、动力、目的。——〔译〕《形而上学》1013a—b"
46,忏悔（tawba）是回归，是心自远方向家转去。——《宗教学科的复兴》〔译〕
47,群众不需要真理，只需要喧哗。——《日记》（Papirer）〔译〕
48,看星辰的运行，如同与它们一同前行；人虽渺小，理性却与天体同源。——《论天意·1》〔译〕
49,主不可以怒而兴师，将不可以愠而致战。——《孙子兵法·火攻篇》
50,真理之全体，在非分别说的圆融中显。——《圆善论》 〔意译〕
51,人是应当被超越的：我教你们做超人。——《查拉图斯特拉如是说·序言》
52,将者，智、信、仁、勇、严也。——《孙子兵法·计篇》
53,只有两条探究之路可陈说：其一，它存在，且不可能不存在——这是说服之路，与真理同行；其二，它不存在，且必然不存在——此路绝不可知。——〔译〕《论自然》残篇 DK B2（辛普里丘转引）
54,有象斯有对，对必反其为；有反斯有仇，仇必和而解。——《正蒙·太和》
55,天与地卑，山与泽平。——《庄子·天下》（历物十事之三）
56,独处而不孤，方为真隐者。——《徒然草》〔译〕
57,劳动，是对应于人体生物过程的那种活动。——《人的境况》〔译〕
58,政者，正也。子帅以正，孰敢不正？——《论语·颜渊》
59,外部世界的存在无法被理性证明，只能由信念接受。——《人性论》卷一·部四·章二〔意译〕
60,理在气中，气无非理。——《读通鉴论》 〔意译〕
61,学术者，天下之公器，非一人之私言。——《亭林文集》 〔意译〕
